#time	unbiased log10 chlorophyll a (log10 mg m-3)	unbiased rmsd (log10 mg m-3)
2022-02-08 00:00:00	-0.281	0.302
2022-02-17 00:00:00	-0.486	0.283
2022-02-22 00:00:00	-0.358	0.296
2022-02-23 00:00:00	-0.214	0.308
2022-03-01 00:00:00	-0.433	0.287
2022-03-02 00:00:00	-0.454	0.287
2022-03-03 00:00:00	-0.447	0.296
2022-03-06 00:00:00	-0.563	0.284
2022-03-15 00:00:00	-0.506	0.283
2022-03-17 00:00:00	-0.479	0.285
2022-03-18 00:00:00	-0.458	0.288
2022-03-19 00:00:00	-0.492	0.280
2022-03-20 00:00:00	-0.475	0.284
2022-03-22 00:00:00	-0.371	0.298
2022-03-23 00:00:00	-0.470	0.280
2022-03-24 00:00:00	-0.415	0.291
2022-03-27 00:00:00	-0.323	0.292
2022-03-29 00:00:00	-0.168	0.310
2022-03-30 00:00:00	-0.344	0.286
2022-03-31 00:00:00	-0.248	0.301
2022-04-02 00:00:00	-0.013	0.316
2022-04-04 00:00:00	-0.250	0.296
2022-04-07 00:00:00	-0.108	0.315
2022-04-08 00:00:00	0.054	0.316
2022-04-10 00:00:00	-0.026	0.322
2022-04-11 00:00:00	-0.433	0.282
2022-04-14 00:00:00	-0.231	0.308
2022-04-15 00:00:00	-0.553	0.259
2022-04-17 00:00:00	-0.601	0.274
2022-04-18 00:00:00	-0.584	0.283
2022-04-19 00:00:00	-0.765	0.247
2022-04-20 00:00:00	-0.780	0.251
2022-04-21 00:00:00	-0.681	0.269
2022-04-22 00:00:00	-0.615	0.263
2022-04-23 00:00:00	-0.469	0.279
2022-04-24 00:00:00	-0.200	0.307
2022-05-07 00:00:00	0.025	0.317
2022-05-08 00:00:00	-0.105	0.313
2022-05-10 00:00:00	-0.393	0.294
2022-05-11 00:00:00	-0.358	0.300
2022-05-12 00:00:00	-0.533	0.261
2022-05-16 00:00:00	-0.508	0.276
2022-05-18 00:00:00	-0.479	0.286
2022-05-19 00:00:00	-0.428	0.289
2022-05-20 00:00:00	-0.477	0.270
2022-05-25 00:00:00	-0.143	0.310
2022-05-26 00:00:00	-0.175	0.305
2022-05-27 00:00:00	-0.372	0.292
2022-05-31 00:00:00	-0.249	0.299
2022-06-04 00:00:00	-0.540	0.285
2022-06-05 00:00:00	-0.448	0.294
2022-06-06 00:00:00	-0.559	0.275
2022-06-10 00:00:00	-0.434	0.285
2022-06-11 00:00:00	-0.386	0.293
2022-06-16 00:00:00	-0.285	0.297
2022-06-18 00:00:00	-0.255	0.298
2022-06-19 00:00:00	-0.218	0.308
2022-06-23 00:00:00	-0.357	0.289
2022-06-25 00:00:00	-0.377	0.288
2022-06-27 00:00:00	-0.356	0.289
2022-06-28 00:00:00	-0.348	0.290
2022-07-03 00:00:00	-0.083	0.321
2022-07-15 00:00:00	-0.321	0.291
2022-07-16 00:00:00	-0.320	0.291
2022-07-19 00:00:00	-0.277	0.306
2022-07-28 00:00:00	-0.282	0.296
2022-08-01 00:00:00	-0.307	0.292
2022-08-03 00:00:00	-0.258	0.300
2022-08-05 00:00:00	-0.284	0.294
2022-08-06 00:00:00	-0.277	0.297
2022-08-08 00:00:00	-0.355	0.296
2022-08-10 00:00:00	-0.394	0.287
2022-08-12 00:00:00	-0.501	0.281
2022-08-14 00:00:00	-0.348	0.295
2022-08-15 00:00:00	-0.395	0.287
2022-08-19 00:00:00	-0.252	0.300
2022-08-27 00:00:00	-0.312	0.300
2022-09-02 00:00:00	-0.280	0.294
2022-09-03 00:00:00	-0.292	0.297
2022-09-09 00:00:00	-0.131	0.315
2022-09-10 00:00:00	-0.295	0.302
2022-09-11 00:00:00	-0.303	0.305
2022-09-12 00:00:00	-0.302	0.305
2022-09-18 00:00:00	-0.215	0.314
2022-09-19 00:00:00	-0.195	0.313
2022-09-23 00:00:00	-0.162	0.315
2022-09-24 00:00:00	-0.272	0.295
2022-09-27 00:00:00	-0.170	0.315
2022-09-28 00:00:00	-0.110	0.316
2022-09-29 00:00:00	-0.108	0.316
2022-10-02 00:00:00	-0.252	0.302
2022-10-06 00:00:00	-0.002	0.316
2022-10-07 00:00:00	-0.172	0.320
2022-10-13 00:00:00	-0.225	0.318
2022-10-18 00:00:00	-0.081	0.354
2022-10-29 00:00:00	-0.294	0.295
2022-10-30 00:00:00	0.342	0.387
