#time	SST (degrees Celsius)	standard error (degrees Celsius)
2022-01-01 12:00:00	7.759	0.210
2022-01-02 12:00:00	7.704	0.210
2022-01-03 12:00:00	7.635	0.190
2022-01-04 12:00:00	7.699	0.190
2022-01-05 12:00:00	7.797	0.200
2022-01-06 12:00:00	7.812	0.190
2022-01-07 12:00:00	7.801	0.200
2022-01-08 12:00:00	7.791	0.196
2022-01-09 12:00:00	7.672	0.284
2022-01-10 12:00:00	7.485	0.200
2022-01-11 12:00:00	7.504	0.190
2022-01-12 12:00:00	7.494	0.190
2022-01-13 12:00:00	7.408	0.325
2022-01-14 12:00:00	7.383	0.320
2022-01-15 12:00:00	7.244	0.190
2022-01-16 12:00:00	7.263	0.190
2022-01-17 12:00:00	7.253	0.190
2022-01-18 12:00:00	7.584	0.200
2022-01-19 12:00:00	7.570	0.210
2022-01-20 12:00:00	7.527	0.220
2022-01-21 12:00:00	7.198	0.229
2022-01-22 12:00:00	7.184	0.199
2022-01-23 12:00:00	7.553	0.210
2022-01-24 12:00:00	7.592	0.190
2022-01-25 12:00:00	7.633	0.190
2022-01-26 12:00:00	7.580	0.210
2022-01-27 12:00:00	7.542	0.210
2022-01-28 12:00:00	7.528	0.190
2022-01-29 12:00:00	7.503	0.275
2022-01-30 12:00:00	7.389	0.285
2022-01-31 12:00:00	7.723	0.190
2022-02-01 12:00:00	7.583	0.190
2022-02-02 12:00:00	7.387	0.190
2022-02-03 12:00:00	7.308	0.210
2022-02-04 12:00:00	7.418	0.210
2022-02-05 12:00:00	7.378	0.190
2022-02-06 12:00:00	7.373	0.190
2022-02-07 12:00:00	7.369	0.190
2022-02-08 12:00:00	7.295	0.190
2022-02-09 12:00:00	7.200	0.200
2022-02-10 12:00:00	7.135	0.210
2022-02-11 12:00:00	7.306	0.190
2022-02-12 12:00:00	7.339	0.190
2022-02-13 12:00:00	7.340	0.190
2022-02-14 12:00:00	7.279	0.190
2022-02-15 12:00:00	7.226	0.204
2022-02-16 12:00:00	7.318	0.210
2022-02-17 12:00:00	7.313	0.220
2022-02-18 12:00:00	7.403	0.190
2022-02-19 12:00:00	7.413	0.190
2022-02-20 12:00:00	7.388	0.190
2022-02-21 12:00:00	7.348	0.190
2022-02-22 12:00:00	7.284	0.190
2022-02-23 12:00:00	7.119	0.190
2022-02-24 12:00:00	7.054	0.210
2022-02-25 12:00:00	6.964	0.190
2022-02-26 12:00:00	6.878	0.190
2022-02-27 12:00:00	6.871	0.190
2022-02-28 12:00:00	7.132	0.190
2022-03-01 12:00:00	7.195	0.230
2022-03-02 12:00:00	7.186	0.220
2022-03-03 12:00:00	7.164	0.230
2022-03-04 12:00:00	7.214	0.220
2022-03-05 12:00:00	7.129	0.220
2022-03-06 12:00:00	7.049	0.230
2022-03-07 12:00:00	6.952	0.220
2022-03-08 12:00:00	6.946	0.230
2022-03-09 12:00:00	6.925	0.230
2022-03-10 12:00:00	7.138	0.220
2022-03-11 12:00:00	7.128	0.230
2022-03-12 12:00:00	7.124	0.220
2022-03-13 12:00:00	6.994	0.230
2022-03-14 12:00:00	7.038	0.239
2022-03-15 12:00:00	7.022	0.220
2022-03-16 12:00:00	7.043	0.226
